sigungu_cd,bjdong_cd,bun,ji,total_exclusive_area,unit_count
11110,10100,0001,0000,16119.65,216
11110,10700,0080,0000,22369.48,171
11110,10700,0156,0000,14798.007,263
11110,10800,0005,0001,4696.43,196
11110,11100,0183,0001,4055.72,137
11110,11500,0009,0000,101983.83,1016
11110,11600,0060,0000,17926.58,105
11110,11700,0005,0000,19515.86,170
11110,11700,0100,0000,18116.58,166
11110,11700,0145,0000,18044.73,168
11110,11800,0071,0000,26373.63,456
11110,11800,0072,0000,46821.49,769
11110,11800,0073,0000,32280.41,425
11110,11800,0074,0000,14288.76,375
11110,11800,0075,0000,27952.66,702
11110,11800,0095,0000,22111.664,173
11110,11800,0167,0000,34001.47,191
11110,12000,0163,0000,31751.04,562
11110,12100,0171,0000,25260.181,244
11110,12200,0070,0000,97661.86,159
11110,12200,0246,0000,51810.5,108
11110,12400,0058,0000,29559.24,564
11110,12400,0085,0000,25287.76,476
11110,12600,0024,0000,53061.89,889
11110,12700,0017,0000,79589.41,101
11110,12900,0110,0000,14913.28,172
11110,13300,0030,0006,9210.35,115
11110,13300,0034,0000,6863.66,287
11110,13300,0055,0000,16652.2,365
11110,13400,0089,0004,22787.08,534
11110,13500,0155,0000,6000.14,175
11110,13600,0043,0000,12041.38,288
11110,13600,0194,0004,20464.51,621
11110,13700,0058,0001,9916.67,285
11110,13700,0285,0000,2191.59,130
11110,13700,0288,0000,45824.9,420
11110,15300,0137,0000,11959.78,1044
11110,15400,0116,0004,34252.44,540
11110,15500,0004,0000,3183.3951,147
11110,15500,0020,0000,14280.67,686
11110,15500,0098,0001,3013.17,145
11110,15700,0028,0026,3534.95,188
11110,15700,0048,0002,44906.25,1164
11110,15800,0006,0002,456.33,168
11110,15800,0269,0002,1815.91,243
11110,16000,0056,0000,2239.2,120
11110,16000,0074,0012,4942.01,213
11110,16200,0045,0000,5188.98,153
11110,16200,0065,0002,4176.3878,183
11110,16200,0126,0002,3346.93,114
11110,16200,0167,0000,2133.8,110
11110,16200,0193,0001,3113.05,120
11110,16300,0138,0004,6794.6652,334
11110,16300,0314,0007,2581.52,334
11110,16400,0262,0001,14928.95,1034
11110,16400,0289,0042,45096.323,1530
11110,16600,0195,0010,3475.44,134
11110,16700,0060,0000,19262.9,244
11110,17100,0004,0000,38267.48,475
11110,17100,0237,0000,10359.59,158
11110,17400,0023,0076,9474.26,111
11110,17400,0023,0816,12876.69,118
11110,17400,0232,0000,38605.07,563
11110,17400,0255,0001,2975.16,159
11110,17400,0328,0017,3772.84,131
11110,17400,0328,0018,27860.505,1689
11110,17400,0436,0041,7068.1,395
11110,17400,0436,0064,8970.59,124
11110,17400,0436,0065,13875.25,303
11110,17400,0436,0078,4777.5,247
11110,17400,0436,0079,6400.33,218
11110,17400,0702,0000,45912.69,666
11110,17400,0703,0000,73407.65,1003
11110,17500,0002,0001,33089.1743,420
11110,17500,0076,0000,44178.59,697
11110,17500,0178,0100,4914.97,157
11110,17500,0202,0003,3883.843,190
11110,17500,0204,0011,13288.95,244
11110,17500,0207,0032,5390.1,246
11110,17500,0217,0016,4451.86,125
11110,17500,0232,0029,8346.23,100
11110,17500,0240,0001,4876.35,162
11110,17500,0296,0019,2841.12,150
11110,17500,0310,0000,11538.68,303
11110,17500,0313,0017,5262.221,190
11110,17500,0317,0048,1962.23,129
11110,17500,0318,0002,3325.11,170
11110,17500,0766,0000,24610.4342,306
11110,17500,1367,0000,3563.57,138
